Date,Open,High,Low,Close,Adj Close,Volume,Vix Open,Vix High,Vix Low,Vix Close
2018-01-30,41.38249969482422,41.842498779296875,41.17499923706055,41.74250030517578,39.81400680541992,184192800,13.930000305175781,15.420000076293945,13.880000114440918,14.789999961853027
2018-01-31,41.717498779296875,42.11000061035156,41.625,41.85749816894531,39.92369079589844,129915600,14.229999542236328,14.4399995803833,13.40999984741211,13.539999961853027
2018-02-01,41.79249954223633,42.154998779296875,41.689998626708984,41.94499969482422,40.00714874267578,188923200,13.050000190734863,14.300000190734863,12.5,13.470000267028809
2018-02-02,41.5,41.70000076293945,40.025001525878906,40.125,38.27123260498047,346375200,13.640000343322754,17.860000610351562,13.640000343322754,17.309999465942383
2018-02-05,39.775001525878906,40.970001220703125,39.0,39.122501373291016,37.31504821777344,290954000,18.440000534057617,38.79999923706055,16.799999237060547,37.31999969482422
2018-02-06,38.70750045776367,40.93000030517578,38.5,40.75749969482422,38.87451934814453,272975200,37.31999969482422,50.29999923706055,22.420000076293945,29.979999542236328
2018-02-07,40.772499084472656,40.849998474121094,39.76750183105469,39.8849983215332,38.04232406616211,206434400,31.3799991607666,31.639999389648438,21.170000076293945,27.729999542236328
2018-02-08,40.0724983215332,40.25,38.75749969482422,38.787498474121094,36.99552536010742,217562000,27.290000915527344,36.16999816894531,24.40999984741211,33.459999084472656
2018-02-09,39.26750183105469,39.47249984741211,37.560001373291016,39.102500915527344,37.448028564453125,282690400,32.18000030517578,41.060001373291016,27.729999542236328,29.059999465942383
2018-02-12,39.625,40.97249984741211,39.377498626708984,40.6775016784668,38.95640182495117,243278000,27.25,29.700000762939453,24.420000076293945,25.610000610351562
2018-02-13,40.48749923706055,41.1875,40.412498474121094,41.084999084472656,39.34664535522461,130196800,26.940000534057617,27.81999969482422,24.469999313354492,24.969999313354492
2018-02-14,40.7599983215332,41.8849983215332,40.720001220703125,41.842498779296875,40.07210159301758,162579600,23.479999542236328,25.719999313354492,18.989999771118164,19.260000228881836
2018-02-15,42.4474983215332,43.272499084472656,42.25,43.247501373291016,41.41765594482422,204588800,18.389999389648438,20.65999984741211,17.600000381469727,19.1299991607666
2018-02-16,43.09000015258789,43.70500183105469,42.942501068115234,43.10749816894531,41.283573150634766,160704400,18.739999771118164,20.989999771118164,17.440000534057617,19.459999084472656
2018-02-20,43.01250076293945,43.564998626708984,42.85499954223633,42.962501525878906,41.14470672607422,135722000,20.530000686645508,21.610000610351562,19.75,20.600000381469727
2018-02-21,43.20750045776367,43.529998779296875,42.752498626708984,42.76750183105469,40.95796585083008,149886400,20.760000228881836,21.040000915527344,16.969999313354492,20.020000457763672
2018-02-22,42.95000076293945,43.48749923706055,42.9275016784668,43.125,41.30032730102539,123967600,20.56999969482422,20.610000610351562,18.06999969482422,18.719999313354492
2018-02-23,43.41749954223633,43.912498474121094,43.3849983215332,43.875,42.01859664916992,135249600,17.959999084472656,18.799999237060547,16.469999313354492,16.489999771118164
2018-02-26,44.087501525878906,44.84749984741211,44.0525016784668,44.74250030517578,42.849403381347656,152648800,16.530000686645508,16.940000534057617,15.800000190734863,15.800000190734863
2018-02-27,44.775001525878906,45.119998931884766,44.540000915527344,44.59749984741211,42.71053695678711,155712400,15.829999923706055,18.979999542236328,15.289999961853027,18.59000015258789
2018-02-28,44.814998626708984,45.154998779296875,44.51250076293945,44.529998779296875,42.6458854675293,151128400,18.079999923706055,20.440000534057617,15.649999618530273,19.850000381469727
2018-03-01,44.6349983215332,44.94499969482422,43.165000915527344,43.75,41.89889144897461,195208000,19.959999084472656,25.299999237060547,19.56999969482422,22.469999313354492
